carrier_id,legal_name,segment,rateable,lines_offered,lines_not_offered,states_available,cat_posture,hard_declines,soft_cautions,preferred_signals,cs_phone,portal_name,notes_for_agent
edison,Edison Insurance Company,fl_property,true,HO3|HO6|DP|FLOOD_END,,FL,selective,state!=FL|mobile_home,older_unmitigated,fl_coastal_alternative,1-866-568-8922,Edison Agent Portal,FL coastal alternative capacity.
southern_oak,Southern Oak Insurance,fl_property,true,HO3|HO6|HO4|DP1|DP3|WIND_ONLY,,FL|SC|GA,selective,mobile_home|max_cov_a:7500000|min_year_built:1950,older_roof,se_coastal_ho,1-877-900-3971,Southern Oak Agent Portal,"Javy bulletin 2026-09-16: Premier HO-3/HO-6 new rates effective 7/15/2026 (new and renewal — rates live). HO-3 TIV increased to $7.5 million. Age of home expanded to 1950 and newer. Full Water expanded in 52 counties (age of home 11-39). DP-3 Coverage A bind up to $1 million. Portal southernoak.com / soi.policyport.com. CS 1-877-900-3971. Underwriter contacts not yet provided. Premier QRG 02-2026: HO-3 Cov A min $75k (varies by county); listed max $2M with higher TIV per bulletin. HO-6 Cov A $35k-$150k. Roof in good condition; wood shingle, asbestos, elastomeric, Tesla/solar ineligible; 15yr+ roof UW review with 5+ years useful life. Electrical 150A min; no FPE, Zinsco/Sylvania, Challenger, Stab-Lok, fuses, knob-tube, aluminum, or cloth. Plumbing: no galvanized, polybutylene, or cast iron; PEX ineligible if installed before 2010. Water heater 15 years max. HVAC permanently installed. 4-point required on HO-3 over 30 years prior to bind. Risks over 40 years: Limited Water required; ACV/market value under 80% RCE ineligible. Full Water may be requested for ages 11-39 (52 counties per bulletin) with approved plumbing inspection. Loss history: one prior loss in last 5 years excluding Act of God; no liability losses; open claims ineligible. Owner-occupied; no business on premises. DP-3 QRG 02-2026: Cov A $70k-$1M (over $1M needs prior UW); PC10 only if 5 years or newer; not within 300 ft of commercial; 4-point over 30 years. HO-4 Golden Leaf QRG 08-2018 / 2019-0326: renters Cov C $10k-$150k; PC10 ineligible. Wind-Only QRG 07-2022: HW-2 Cov A $25k-$1M; wind-pool eligible area; roof 15+ needs Preferred Roof Cert. Flood endorsement available on all forms."
heritage,Heritage Property & Casualty,fl_property,true,HO3|HO6|COMM_RES|DP,,FL|NC|SC|AL|GA|MS|coastal_other,selective,very_old_roof_no_update,ian_heavy_county,coastal_habitational|newer_roof,1-855-536-2744,Heritage Agent Login,"FL specialist — strictest of FL MHO four on roofs. Older roofs often ACV, sometimes 50–70% depreciation; wind shingle damage often “cosmetic” with little/no pay. Binding guidelines with appointed agents, not public site. Writes coastal many nationals avoid. Prefers better roofs post-Ian. Common MH threads: tie-down cert, roof age/condition, 4-point over 30 years. Javy MHO notes 2026-09-22."
security_first,Security First Insurance,fl_property,true,HO3|HO6|HO4|DP1|DP3|FLOOD,,FL,selective,state!=FL|mobile_home,older_roof,fl_wind_hurricane_package,1-877-333-9992,Security First Portal,FL residential wind/hurricane specialist.
peoples_trust,People's Trust Insurance,fl_property,true,HO3|HO6,DP_vacant,FL,selective,state!=FL|vacant|mobile_home,older_roof,wants_restoration_network_model,1-561-609-1000,MyPTI Portal,FL HO with affiliated restoration model. Not vacant/mobile.
trident_reciprocal,Trident Reciprocal Exchange,fl_property,true,HO3,,FL,open,state!=FL|mobile_home|min_cov_a:300000|max_cov_a:5000000|max_dwelling_age:40|min_miles_to_coast:0.5|pc:10,older_roof|pc:9,fl_single_family|quoterush|wind_mitigation|newer_construction,(877)368-9144,QuoteRUSH,"NOW COVERING WIND DRIVEN RAIN. FL HO-3 via QuoteRUSH (www.tridentreciprocal.com). Contact (877)368-9144 / support@tridentreciprocal.com. Coverage A $300,000-$5,000,000 (was $400k; effective immediately). Broader Florida HO placement — re-shop risks previously below $400k. Cov B 2/5/10/15% (excl avail); Cov C 25/50/75% (excl avail); Cov D 10% of A; Liability 100/300/400/500k; Med Pay 2/3/4/5k. Deductibles: AOP 1k/2.5k/5k/10k; Hurricane 2/5/10% of A. Eligibility: dwelling 40 yrs & newer; roof Shingle 15 / Tile 20 / Metal 30; flat over living ineligible; flat reinforced concrete requires Cov A $900k+. PC10 ineligible; PC9 UW review. Distance to coast 1/2 mile or greater. Lapse +14 days requires UW review. HWH 15 yrs & newer if inside living (no age if garage/outside). Polybutylene ineligible; PEX no age. Electrical: no Challenger, Sylvania, Zinsco, or single-strand aluminum; multi-strand aluminum UW review. Loss history: <=2 non-hurricane claims in last 5 years, each <=$5k (exceptions available). Discounts: monitored burglar & fire alarm; wind loss mitigation; gated/limited access; HVAC maintenance contract. Enhancements: Ord/Law 10/25/50%; water backup & sump; screen enclosure; animal liability. QRG Version 06122026."
apex_star,Apex Star Reciprocal Exchange,fl_property,true,HO3|DP3|COMM_RES,,FL,open,state!=FL|mobile_home,older_roof,fl_reciprocal|fl_single_family,(888) 876-8005,Apex Star,"Apex Star Reciprocal Exchange (aka Apex Star Insurance Exchange). Florida-admitted P&C reciprocal, member of StarLight Insurance Group (Tampa). HO-3, DP-3, and commercial property. Contact customerservice@apexstarins.com / (888) 876-8005. Web apexstarins.com. HQ 6135 W. Sitka St., Tampa, FL 33634. NAIC 17742. No UW mins on this contacts sheet."
typtap,TypTap Insurance,fl_property,true,HO3|FLOOD|WIND_ONLY,,FL|SC|NJ|TX|coastal_other,open,no_wind_flood_need_mismatch,poor_construction,flood|wind_only|tech_rated_coastal,1-844-289-7968,TypTap Agency Portal,Use for flood/wind-only and modeled coastal HO.
olympus,Olympus Insurance Company,fl_property,true,HO3|HO6|DP3|UMB,,FL,selective,state!=FL|poor_construction|mobile_home|manufactured|vacant|min_cov_a:500000|max_cov_a:5000000,older_roof,strong_construction|mitigation_credits,1-800-711-9386,Olympus Agent Portal,"Olympus FL Homeowners Multi-peril General Underwriting Guidelines / QRG June 15, 2026 (image-only PDF; paired Salesforce Homeowners Quick Reference Guide V0426). Eligible limits: Cov A min $500,000 rest of state / $1,000,000 Tri-County; max $5,000,000; TIV max $8,000,000. Quote-gate floors Cov A at $500,000 statewide; Markets raises Broward / Miami-Dade / Palm Beach to $1,000,000. Cov B 2% of dwelling default (0-20% blanket; scheduled up to 70%). Cov C 50% default (0-75%). Cov D 10%. Cov E liability default $300,000 ($100k/$500k/$1M available). Cov F med pay default $1,000 ($5k/$10k/$25k). Insurance to value 100-125% RCE; 20% extended dwelling available (default none). Blanket personal property max $10,000 per item / $100,000 jewelry. AOP deductible min $1,000 ($2.5k/$5k/$10k/$25k/$50k); no special deductible less than AOP. Hurricane 2%/5% within 1,000 feet of coast (1%/3%/4%/10% available). Sinkhole deductible 10%. Occupancy: 1- or 2-family; seasonal/secondary/rentals eligible (rental liability premises-only + surcharge). Incidental business under 2 customer visits per week eligible. Ineligible occupancy: under construction/renovation, vacant/unoccupied, foreclosure/short-sale/as-is, home daycare or assisted living, more than 2 customer visits per week, commercial/retail farming, more than 2 roomers. Applicant: named insured must have insurable interest; refer 2+ non-domestic-partner named insureds, trusts/LLCs (questionnaire), high-profile occupations. Credit score reviewed at new business and at least every second renewal. Refer >1 loss in 3 years, >2 in 5 years, or any claim over $100,000; pattern of frequency/severity/carelessness ineligible; cancel/non-renew last 3 years or lapse refer. Ineligible: arson/fraud/felony, BK/judgments/foreclosure/repossession/liens last 5 years, first-party personal-lines lawsuit not prevailed/settled, distressed purchase, refuse inspection, or fail to provide UW info. Location: refer peak TIV concentration, hydrant >1,000 ft or fire dept >5 miles, acreage >5. Wind within 1,000 ft of coast requires min 5% hurricane deductible. Flood not in base policy; Flood Zones A/V ineligible unless separately flooded. Sinkhole density >30/sq mi ineligible; sinkhole endorsement ineligible if density >3.54/sq mi; prior/current sinkhole on premises not online-bindable. Monroe County ineligible with wind (ex-wind eligible). Over water, ferry/boat-only access, or moratorium ineligible. Construction: manufactured/modular/mobile/trailer ineligible; EIFS if built prior to 2000 ineligible; log homes and unique/obsolete/irreplaceable construction generally ineligible; stilts/piers/pilings prior to 1995 refer; 7,500 sq ft+ ineligible. All dwellings inspected. Roof online bind: architectural shingle 15 / clay-concrete-Spanish tile 25 / standing-seam metal 40; 3-tab, membrane, foam, wood shake not online-bindable; flat refer; 5+ years useful life inspection may substitute. Electrical: 200-amp if built before 1995; no knob-and-tube, aluminum, Zinsco (GTE-Sylvania), FPE, Challenger, Pushmatic, Bulldog, or fuse boxes. Plumbing: PB ineligible pre-1995 (water excl + $10,000 limited-water buyback); galvanized pre-1995 needs plumbing inspection. Water heater: traditional inside/attic 15, outside/garage 20; tankless 20. No wood stove as sole heat; underground fuel tanks ineligible. Unsecured pools ineligible; pool liability needs 4-ft locked fence or screen; diving boards/slides ineligible for pool liability. Pets: vicious/bite history, guard dogs, wolf hybrids, >3 dogs, zoo/exotic ineligible; animal liability not eligible with exotic or bite history. Water exclusion auto-attaches if home over 40 years or PB unless automatic shutoff. Payment: annual 100% before effective, or four-pay 25% at bind+14 days then months 2/5/8. Late pay accepted 1 month past due. Reinstatement >30 days refer; Statement of No Known Losses required. CS 1-800-711-9386."
stand,Stand,fl_property,true,HO3,,FL,selective,state!=FL|mobile_home,older_roof,fl_single_family,1-888-319-1332,STAND Florida,"STAND Florida contacts (Javy bulletin 2026-09-16). Main 1-888-319-1332 (FNOL / underwriting / service). Claims: report 1-888-319-1332; existing claims Next Era 833-667-8263 (833-OnStand) / Office@nexteraclaims.com. Policy updates stand_uw@getstandfl.com; mitigations florida.mitigations@standinsurance.com; agency services agencyservices@getstandfl.com. Mail PO Box 459000, Sunrise, FL 33345. Fax 1-941-229-6121. CA misdirect warm-transfer 1-415-903-8091. Sales: Mike Killingsworth Head of Sales 863-370-8607 mike@standinsurance.com; Maggie Grignon Account Executive 415-223-0694 maggieg@standinsurance.com. Web standinsurance.com / getstandfl.com. Written lines HO (FL). No UW mins on this contacts sheet."
monarch,Monarch National Insurance Company,fl_property,true,HO3|DP1|DP3,,FL,selective,state!=FL,older_unmitigated,fl_hurricane_capacity,1-800-293-2532,Monarch National Agent Access,FL capacity play. Confirm current appointments.
loggerhead,Loggerhead Reciprocal Interinsurance Exchange,fl_property,true,HO3|DP,,FL,selective,state!=FL,thin_financials_concern_agent_note,fl_reciprocal_capacity,1-855-216-2565,Loggerhead Agent Portal,FL reciprocal. Confirm surplus/appointment before relying.
florida_family,Florida Family Insurance,fl_property,true,HO3|HO6|DP_RENTAL|FLOOD,,FL,selective,state!=FL|mobile_home,older_roof,fl_residential,1-888-850-4663,Florida Family Agent Sign In,FL HO/condo/rental/flood.
cabrillo,Cabrillo Coastal Insurance,e_and_s,true,WIND_ONLY|HO_MP|DP|COMM_RES,standard_inland_preferred,FL|MS|SC|TX,open,inland_preferred_standard,admitted_already_quoted_cheaper,wind_only|heavy_coastal|admitted_declined,1-866-482-5246,Cabrillo Coastal Producer Access,MGA for heavy wind/coastal when admitted markets decline.
mendota,Mendota Insurance,specialty,true,NONSTANDARD_PAP|COMM_AUTO|TRUCKING,PREFERRED_PAP,MN|TN|GA|IL|WI|other_15plus,open,preferred_only_driver,out_of_footprint,nonstandard_auto|fleet|trucking,1-771-210-4000,Mendota Agent Portal,Nonstandard auto/commercial auto. Confirm state.
infinity,Infinity Insurance,specialty,true,NONSTANDARD_PAP|COMM_AUTO,PREFERRED_PAP,CA|FL|TX|AZ|GA|OH|other,open,preferred_only_driver,out_of_footprint,urban_nonstandard_auto,1-800-334-1661,Infinity Agent Portal,Kemper nonstandard auto.
the_general,The General,specialty,true,NONSTANDARD_PAP|STANDARD_PAP,,45_plus_US_states,open,clean_preferred_better_priced_elsewhere,too_high_risk_for_price,tickets|accidents|lapse|fast_issue,1-800-280-1466,The General Agent Portal,Quick-issue auto for violations/gaps.
tapco,Tapco Underwriters,e_and_s,true,HO3|HO6|DP1|DP3|VACANT|GL|UMB,preferred_admitted_standard,NC|SC|GA|FL|VA|TN|SE_east,open,admitted_market_already_open,high_premium_e_and_s,vacant|hard_to_place_ho|admitted_declined,1-800-334-5575,TAPCO Underwriters Portal,E&S MGA. Use after admitted FL specialists decline or for vacant/hard-to-place.
nbic,Narragansett Bay Insurance Company,regional,true,HO3|HO5|HO6|DP_RENTAL|HNW_HOME,,NY|NJ|MA|RI|CT|NH|ME,selective,state_not_ne_coast|florida_risk,poor_mitigation,ne_coastal|high_value|protective_devices,1-800-343-3375,NBIC Agent Portal,Northeast coastal/high-value. Do not send Florida risks here.
uicna,Universal Insurance Company of North America,fl_property,true,HO3|DP|COMM_RES,,TX|SC|NC|GA|HI,selective,FL_primary_book_assumption,older_unmitigated,southern_storm_residential,1-866-458-4262,UICNA Agent Portal,Not the same as Universal Property & Casualty of Florida. Separate carrier. States TX/SC/NC/GA/HI.
pacific_specialty,Pacific Specialty Insurance Company,specialty,true,HO|MANUFACTURED|HO4|DP1|DP3|WATERCRAFT|UMB,preferred_standard_new_construction_only,US,open,none_standard,high_cat_unmodeled,older_home|manufactured|nonstandard_dwelling,1-800-303-5000,Pacific Specialty Producer Portal,Specialty personal property including manufactured/older homes nationwide.
american_traditions,American Traditions,fl_property,true,MHO|HO3|DP1,,FL,open,state!=FL,older_roof,manufactured|mobile_home|mho,,American Traditions Agent Portal,"Florida manufactured-home leader. Tiers: SA (full RC), SSH (RC contents / ACV home), DP1 (straight ACV). Top tier back to ~1970. Water damage capped $10k on homes older than 40 years. Roof wind/hail may settle on payment schedule by roof age (discount trade, not decline). Common MH threads: tie-down cert, roof age/condition, 4-point over 30 years. Javy MHO notes 2026-09-22."
